Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Gold Price API Test:GET Gold Price,30000,1363,1410,1942,2057,2366,1,2801,0.000%,545.88133,175.39,65.89
Gold Price API Test:View Gold Price Page,30000,1749,1874,2229,2348,2661,1,2810,0.000%,544.69198,2906.44,67.35
Gold Price API Test:Add Gold Price,3000,5310,5745,8765,8922,9312,3,9639,0.000%,55.56276,21.52,18.10
TOTAL,63000,1734,1671,2214,2495,8281,1,9639,0.000%,1140.51921,3093.50,150.40
